[aist#0:0/pcm_s16le @ 0000020d101f3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-units-B-pause020.wav':
  Duration: 00:00:17.90, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.199958   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.299958   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.399958   TARGET:-23 LUFS    M: -30.5 S:-120.7     I: -30.5 LUFS       LRA:   0.0 LU  FTPK: -11.0 dBFS  TPK: -11.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.499958   TARGET:-23 LUFS    M: -21.3 S:-120.7     I: -23.8 LUFS       LRA:   0.0 LU  FTPK:  -8.2 dBFS  TPK:  -8.2 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.599958   TARGET:-23 LUFS    M: -19.9 S:-120.7     I: -22.1 LUFS       LRA:   0.0 LU  FTPK:  -7.7 dBFS  TPK:  -7.7 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.699958   TARGET:-23 LUFS    M: -19.6 S:-120.7     I: -21.3 LUFS       LRA:   0.0 LU  FTPK: -11.6 dBFS  TPK:  -7.7 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.799958   TARGET:-23 LUFS    M: -18.9 S:-120.7     I: -20.7 LUFS       LRA:   0.0 LU  FTPK: -11.7 dBFS  TPK:  -7.7 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.899958   TARGET:-23 LUFS    M: -21.6 S:-120.7     I: -20.8 LUFS       LRA:   0.0 LU  FTPK: -12.8 dBFS  TPK:  -7.7 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.999958   TARGET:-23 LUFS    M: -19.6 S:-120.7     I: -20.6 LUFS       LRA:   0.0 LU  FTPK:  -5.9 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.099958   TARGET:-23 LUFS    M: -17.5 S:-120.7     I: -19.6 LUFS       LRA:   0.0 LU  FTPK:  -8.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.199958   TARGET:-23 LUFS    M: -16.1 S:-120.7     I: -18.9 LUFS       LRA:   0.0 LU  FTPK:  -6.6 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.299958   TARGET:-23 LUFS    M: -15.6 S:-120.7     I: -18.4 LUFS       LRA:   0.0 LU  FTPK:  -6.3 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.399958   TARGET:-23 LUFS    M: -15.8 S:-120.7     I: -18.1 LUFS       LRA:   0.0 LU  FTPK:  -8.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.499958   TARGET:-23 LUFS    M: -17.1 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK:  -9.0 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.599958   TARGET:-23 LUFS    M: -18.7 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK:  -8.6 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.699958   TARGET:-23 LUFS    M: -18.2 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK:  -9.1 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.799958   TARGET:-23 LUFS    M: -19.1 S:-120.7     I: -18.1 LUFS       LRA:   0.0 LU  FTPK: -10.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.899958   TARGET:-23 LUFS    M: -17.9 S:-120.7     I: -18.1 LUFS       LRA:   0.0 LU  FTPK:  -7.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 1.999958   TARGET:-23 LUFS    M: -16.3 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK:  -7.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.099958   TARGET:-23 LUFS    M: -17.1 S:-120.7     I: -17.9 LUFS       LRA:   0.0 LU  FTPK: -12.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.199958   TARGET:-23 LUFS    M: -17.7 S:-120.7     I: -17.9 LUFS       LRA:   0.0 LU  FTPK: -42.3 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.299958   TARGET:-23 LUFS    M: -19.3 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK: -31.1 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.399958   TARGET:-23 LUFS    M: -27.8 S:-120.7     I: -18.2 LUFS       LRA:   0.0 LU  FTPK: -17.7 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.499958   TARGET:-23 LUFS    M: -23.8 S:-120.7     I: -18.3 LUFS       LRA:   0.0 LU  FTPK:  -9.0 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.599958   TARGET:-23 LUFS    M: -19.9 S:-120.7     I: -18.4 LUFS       LRA:   0.0 LU  FTPK:  -8.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.699958   TARGET:-23 LUFS    M: -18.7 S:-120.7     I: -18.4 LUFS       LRA:   0.0 LU  FTPK:  -9.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.799958   TARGET:-23 LUFS    M: -17.4 S:-120.7     I: -18.3 LUFS       LRA:   0.0 LU  FTPK:  -9.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.899958   TARGET:-23 LUFS    M: -16.8 S:-120.7     I: -18.3 LUFS       LRA:   0.0 LU  FTPK:  -8.7 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 2.999958   TARGET:-23 LUFS    M: -17.2 S: -18.5     I: -18.2 LUFS       LRA:  20.0 LU  FTPK:  -8.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.099958   TARGET:-23 LUFS    M: -16.5 S: -18.2     I: -18.1 LUFS       LRA:  20.1 LU  FTPK:  -6.9 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.199958   TARGET:-23 LUFS    M: -16.3 S: -18.0     I: -18.1 LUFS       LRA:  20.2 LU  FTPK:  -7.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.299958   TARGET:-23 LUFS    M: -17.7 S: -18.0     I: -18.0 LUFS       LRA:  20.2 LU  FTPK: -11.3 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.399958   TARGET:-23 LUFS    M: -17.8 S: -17.9     I: -18.0 LUFS       LRA:   0.6 LU  FTPK:  -7.3 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.499958   TARGET:-23 LUFS    M: -16.7 S: -17.7     I: -18.0 LUFS       LRA:   0.8 LU  FTPK:  -7.2 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.599958   TARGET:-23 LUFS    M: -15.6 S: -17.4     I: -17.9 LUFS       LRA:   1.1 LU  FTPK:  -7.1 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.699958   TARGET:-23 LUFS    M: -15.1 S: -17.3     I: -17.8 LUFS       LRA:   1.2 LU  FTPK:  -6.5 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.799958   TARGET:-23 LUFS    M: -15.5 S: -17.4     I: -17.7 LUFS       LRA:   1.2 LU  FTPK: -14.4 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.899958   TARGET:-23 LUFS    M: -15.8 S: -17.1     I: -17.5 LUFS       LRA:   1.4 LU  FTPK:  -7.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 3.999958   TARGET:-23 LUFS    M: -17.1 S: -17.2     I: -17.5 LUFS       LRA:   1.4 LU  FTPK:  -8.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.099958   TARGET:-23 LUFS    M: -17.6 S: -17.3     I: -17.5 LUFS       LRA:   1.4 LU  FTPK: -11.5 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.199958   TARGET:-23 LUFS    M: -16.8 S: -17.5     I: -17.5 LUFS       LRA:   1.4 LU  FTPK:  -6.9 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.299958   TARGET:-23 LUFS    M: -16.6 S: -17.3     I: -17.5 LUFS       LRA:   1.4 LU  FTPK:  -5.9 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.399958   TARGET:-23 LUFS    M: -17.4 S: -17.4     I: -17.5 LUFS       LRA:   1.1 LU  FTPK:  -9.3 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.499958   TARGET:-23 LUFS    M: -17.8 S: -17.4     I: -17.5 LUFS       LRA:   1.1 LU  FTPK: -46.0 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.599958   TARGET:-23 LUFS    M: -19.2 S: -17.5     I: -17.5 LUFS       LRA:   1.1 LU  FTPK: -62.5 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.699958   TARGET:-23 LUFS    M: -26.6 S: -17.7     I: -17.7 LUFS       LRA:   1.1 LU  FTPK: -55.6 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.799958   TARGET:-23 LUFS    M: -69.2 S: -17.8     I: -17.7 LUFS       LRA:   1.1 LU  FTPK: -66.7 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.899958   TARGET:-23 LUFS    M: -85.6 S: -18.0     I: -17.7 LUFS       LRA:   1.1 LU  FTPK: -81.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 4.999958   TARGET:-23 LUFS    M: -87.1 S: -18.4     I: -17.7 LUFS       LRA:   1.2 LU  FTPK: -79.6 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.099958   TARGET:-23 LUFS    M: -93.0 S: -18.4     I: -17.7 LUFS       LRA:   1.3 LU  FTPK:  -inf dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.199958   TARGET:-23 LUFS    M: -98.9 S: -18.4     I: -17.7 LUFS       LRA:   1.3 LU  FTPK:  -inf dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.299958   TARGET:-23 LUFS    M:-102.5 S: -18.4     I: -17.7 LUFS       LRA:   1.3 LU  FTPK:  -inf dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.399958   TARGET:-23 LUFS    M:   nan S: -18.5     I: -17.7 LUFS       LRA:   1.3 LU  FTPK:  -inf dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.499958   TARGET:-23 LUFS    M:   nan S: -18.6     I: -17.7 LUFS       LRA:   1.3 LU  FTPK:  -inf dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.599958   TARGET:-23 LUFS    M:-106.6 S: -18.9     I: -17.7 LUFS       LRA:   1.4 LU  FTPK: -80.6 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.699958   TARGET:-23 LUFS    M:-101.2 S: -19.0     I: -17.7 LUFS       LRA:   1.5 LU  FTPK: -81.8 dBFS  TPK:  -5.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.799958   TARGET:-23 LUFS    M: -31.0 S: -19.2     I: -17.7 LUFS       LRA:   1.7 LU  FTPK:  -5.5 dBFS  TPK:  -5.5 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.899958   TARGET:-23 LUFS    M: -24.9 S: -19.4     I: -17.8 LUFS       LRA:   1.9 LU  FTPK:  -5.0 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 5.999958   TARGET:-23 LUFS    M: -22.6 S: -19.5     I: -17.8 LUFS       LRA:   1.9 LU  FTPK:  -9.2 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.099958   TARGET:-23 LUFS    M: -20.9 S: -19.7     I: -17.9 LUFS       LRA:   2.2 LU  FTPK:  -8.6 dBFS  TPK:  -5.0 dBFS
