[aist#0:0/pcm_s16le @ 00000211b1ad3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-pause020-v1.wav':
  Duration: 00:00:49.75, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -7.2 dBFS  TPK:  -7.2 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.199958   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -6.2 dBFS  TPK:  -6.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.299958   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -6.9 dBFS  TPK:  -6.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.399958   TARGET:-23 LUFS    M: -15.5 S:-120.7     I: -15.5 LUFS       LRA:   0.0 LU  FTPK:  -7.5 dBFS  TPK:  -6.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.499958   TARGET:-23 LUFS    M: -15.7 S:-120.7     I: -15.6 LUFS       LRA:   0.0 LU  FTPK:  -6.0 dBFS  TPK:  -6.0 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.599958   TARGET:-23 LUFS    M: -16.1 S:-120.7     I: -15.8 LUFS       LRA:   0.0 LU  FTPK:  -3.8 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.699958   TARGET:-23 LUFS    M: -17.2 S:-120.7     I: -16.1 LUFS       LRA:   0.0 LU  FTPK:  -8.1 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.799958   TARGET:-23 LUFS    M: -17.9 S:-120.7     I: -16.4 LUFS       LRA:   0.0 LU  FTPK: -49.1 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.899958   TARGET:-23 LUFS    M: -19.6 S:-120.7     I: -16.8 LUFS       LRA:   0.0 LU  FTPK: -51.8 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.999958   TARGET:-23 LUFS    M: -26.8 S:-120.7     I: -17.4 LUFS       LRA:   0.0 LU  FTPK: -42.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.099958   TARGET:-23 LUFS    M: -24.7 S:-120.7     I: -17.9 LUFS       LRA:   0.0 LU  FTPK:  -6.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.199958   TARGET:-23 LUFS    M: -24.6 S:-120.7     I: -18.3 LUFS       LRA:   0.0 LU  FTPK: -21.7 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.299958   TARGET:-23 LUFS    M: -20.6 S:-120.7     I: -18.4 LUFS       LRA:   0.0 LU  FTPK:  -7.6 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.399958   TARGET:-23 LUFS    M: -20.1 S:-120.7     I: -18.6 LUFS       LRA:   0.0 LU  FTPK:  -8.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.499958   TARGET:-23 LUFS    M: -18.2 S:-120.7     I: -18.5 LUFS       LRA:   0.0 LU  FTPK:  -7.2 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.599958   TARGET:-23 LUFS    M: -17.9 S:-120.7     I: -18.5 LUFS       LRA:   0.0 LU  FTPK: -10.7 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.699958   TARGET:-23 LUFS    M: -17.6 S:-120.7     I: -18.4 LUFS       LRA:   0.0 LU  FTPK:  -8.0 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.799958   TARGET:-23 LUFS    M: -16.3 S:-120.7     I: -18.2 LUFS       LRA:   0.0 LU  FTPK:  -4.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.899958   TARGET:-23 LUFS    M: -15.8 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK:  -6.2 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 1.999958   TARGET:-23 LUFS    M: -14.5 S:-120.7     I: -17.7 LUFS       LRA:   0.0 LU  FTPK:  -7.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.099958   TARGET:-23 LUFS    M: -14.4 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK:  -8.4 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.199958   TARGET:-23 LUFS    M: -15.1 S:-120.7     I: -17.3 LUFS       LRA:   0.0 LU  FTPK: -11.7 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.299958   TARGET:-23 LUFS    M: -16.9 S:-120.7     I: -17.3 LUFS       LRA:   0.0 LU  FTPK: -10.8 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.399958   TARGET:-23 LUFS    M: -19.9 S:-120.7     I: -17.4 LUFS       LRA:   0.0 LU  FTPK: -22.0 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.499958   TARGET:-23 LUFS    M: -25.2 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK: -51.8 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.599958   TARGET:-23 LUFS    M: -28.6 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK: -55.2 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.699958   TARGET:-23 LUFS    M: -42.0 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK: -52.9 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.799958   TARGET:-23 LUFS    M: -32.8 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK:  -8.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.899958   TARGET:-23 LUFS    M: -23.9 S:-120.7     I: -17.7 LUFS       LRA:   0.0 LU  FTPK:  -7.3 dBFS  TPK:  -3.8 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 2.999958   TARGET:-23 LUFS    M: -19.8 S: -18.0     I: -17.8 LUFS       LRA:  20.0 LU  FTPK:  -3.7 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.099958   TARGET:-23 LUFS    M: -15.6 S: -17.6     I: -17.7 LUFS       LRA:  20.2 LU  FTPK:  -5.5 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.199958   TARGET:-23 LUFS    M: -15.3 S: -17.9     I: -17.5 LUFS       LRA:  20.2 LU  FTPK:  -8.8 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.299958   TARGET:-23 LUFS    M: -14.6 S: -17.9     I: -17.4 LUFS       LRA:  20.2 LU  FTPK:  -5.3 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.399958   TARGET:-23 LUFS    M: -15.0 S: -17.8     I: -17.3 LUFS       LRA:   0.4 LU  FTPK:  -7.4 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.499958   TARGET:-23 LUFS    M: -16.1 S: -17.7     I: -17.2 LUFS       LRA:   0.4 LU  FTPK:  -7.4 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.599958   TARGET:-23 LUFS    M: -15.0 S: -17.6     I: -17.1 LUFS       LRA:   0.4 LU  FTPK:  -7.8 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.699958   TARGET:-23 LUFS    M: -16.1 S: -17.7     I: -17.1 LUFS       LRA:   0.4 LU  FTPK: -14.1 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.799958   TARGET:-23 LUFS    M: -16.1 S: -17.6     I: -17.1 LUFS       LRA:   0.4 LU  FTPK:  -8.2 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.899958   TARGET:-23 LUFS    M: -17.4 S: -17.4     I: -17.1 LUFS       LRA:   0.5 LU  FTPK: -10.9 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 3.999958   TARGET:-23 LUFS    M: -19.8 S: -17.4     I: -17.1 LUFS       LRA:   0.5 LU  FTPK:  -9.3 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.099958   TARGET:-23 LUFS    M: -18.7 S: -17.4     I: -17.2 LUFS       LRA:   0.6 LU  FTPK:  -8.5 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.199958   TARGET:-23 LUFS    M: -18.8 S: -17.3     I: -17.2 LUFS       LRA:   0.6 LU  FTPK:  -8.2 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.299958   TARGET:-23 LUFS    M: -20.2 S: -17.4     I: -17.3 LUFS       LRA:   0.6 LU  FTPK: -41.5 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.399958   TARGET:-23 LUFS    M: -21.4 S: -17.4     I: -17.3 LUFS       LRA:   0.5 LU  FTPK: -52.4 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.499958   TARGET:-23 LUFS    M: -24.7 S: -17.7     I: -17.4 LUFS       LRA:   0.5 LU  FTPK:  -inf dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.599958   TARGET:-23 LUFS    M: -63.2 S: -17.8     I: -17.4 LUFS       LRA:   0.5 LU  FTPK:  -inf dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.699958   TARGET:-23 LUFS    M: -44.0 S: -18.0     I: -17.4 LUFS       LRA:   0.6 LU  FTPK: -21.8 dBFS  TPK:  -3.7 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.799958   TARGET:-23 LUFS    M: -19.2 S: -17.8     I: -17.5 LUFS       LRA:   0.6 LU  FTPK:  -1.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.899958   TARGET:-23 LUFS    M: -18.7 S: -18.2     I: -17.5 LUFS       LRA:   0.7 LU  FTPK:  -3.6 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 4.999958   TARGET:-23 LUFS    M: -16.4 S: -18.2     I: -17.5 LUFS       LRA:   0.9 LU  FTPK:  -2.5 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.099958   TARGET:-23 LUFS    M: -16.2 S: -18.5     I: -17.4 LUFS       LRA:   0.9 LU  FTPK: -12.4 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.199958   TARGET:-23 LUFS    M: -18.9 S: -18.5     I: -17.5 LUFS       LRA:   1.1 LU  FTPK: -15.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.299958   TARGET:-23 LUFS    M: -18.4 S: -18.4     I: -17.5 LUFS       LRA:   1.1 LU  FTPK:  -6.8 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.399958   TARGET:-23 LUFS    M: -20.6 S: -18.3     I: -17.5 LUFS       LRA:   1.1 LU  FTPK:  -9.0 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.499958   TARGET:-23 LUFS    M: -19.4 S: -18.1     I: -17.6 LUFS       LRA:   1.1 LU  FTPK: -12.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.599958   TARGET:-23 LUFS    M: -18.0 S: -18.0     I: -17.6 LUFS       LRA:   1.1 LU  FTPK:  -5.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.699958   TARGET:-23 LUFS    M: -18.3 S: -17.9     I: -17.6 LUFS       LRA:   1.1 LU  FTPK:  -9.1 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.799958   TARGET:-23 LUFS    M: -19.0 S: -17.8     I: -17.6 LUFS       LRA:   1.1 LU  FTPK: -12.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.899958   TARGET:-23 LUFS    M: -19.6 S: -17.9     I: -17.6 LUFS       LRA:   1.1 LU  FTPK:  -8.8 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 5.999958   TARGET:-23 LUFS    M: -19.5 S: -17.9     I: -17.7 LUFS       LRA:   1.1 LU  FTPK:  -6.6 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.099958   TARGET:-23 LUFS    M: -20.1 S: -18.6     I: -17.7 LUFS       LRA:   1.1 LU  FTPK: -10.6 dBFS  TPK:  -1.2 dBFS
